templeName,Description,Location,Coordinates,DistanceFromMumbai(Km),DistanceFromNewDelhi(Km),DistanceFromChennai(Km),DistanceFromKolkata(Km)
"Jagannath Temple | Puri, Orissa","The sacred abode of Lord Jagannath or the Lord of the Universe, the Jagannath Temple is one of the most renowned temples not only in Orissa but in India. Thousands of devotees pour in from different parts of the country and the world to pay their homage to the presiding deity. The temple is an architectural splendour towering over its surroundings.", Puri,"(19.8076083, 85.8252538)",1361.743808,1309.533812,951.3644172,400.9523155
"Kalighat Kali Temple | Kolkata, West Bengal","Located in Calcutta on the banks of River Hoogly, Kalighat temple is dedicated to Goddess Kali. One of the 51 Shakti Peethas where the various body parts of Goddess Sati are believed to have fallen, Kalighat is the site where the toes of Sati fell. Considered extremely sacred, thousands of devotees throng the temple irrespective of sectarian differences. Originally the temple dates back to the 16th century though in its present form the Kalighat temple is only 200 years old.", Kolkata,"(22.5414185, 88.35769124388872)",1655.629682,1305.58452,1352.260203,0
"Dakshineswar Kali Temple | Kolkata, West Bengal","Located in Dakshineswar near Kolkata on the banks of River Hoogly, the Dakshineswar temple is the abode of Bhavatarini, an aspect of Kali. The temple was built by Rani Rashmoni in 1855. In 1856 Ramakrishna Paramhans became its head priest. It was his association with the temple which accounts for the fame and popularity of Dakshineswar temple. The temple complex also houses twelve identical temples dedicated to Lord Shiva. The temple is one of the primary pilgrimage centres of eastern India. ", Kolkata,"(22.5414185, 88.35769124388872)",1655.629682,1305.58452,1352.260203,0
"Kamakhya Temple | Guwahati, Assam","An ancient Shakti Peetha, Kamakhya temple is situated on the Nilachal Hill in western Guwahati. The inner sanctorum or the garbha griha has a yoni-shaped stone filled with water located in a cave below the ground level. The temple is a renowned pilgrimage centre for general devotees as well as for Tantric worshippers. Dating back to several centuries, the temple was destroyed twice before the revised temple structure was constructed in 1565.", Guwahati,"(26.1805978, 91.753943)",2090.9851,1462.599847,1882.469899,530.2472947
"Dwarkadhish Temple | Dwarka, Gujarat",Dwarkadhish Temple is dedicated to Dwarkadhish or the ‘King of Dwaraka’ which is Lord Krishna. Dwarka is believed to have been the capital of Lord Krishna’s terrestrial kingdom. The temple is one of the Char Dhams in India and the 108th Divya Desam of Lord Vishnu. The architecture of the temple is beautiful with strong Chalukyan influences. 51.8m high it has 60 exquisitely carved pillars and sculptures adorning the temple. The deity of Lord Dwarkadhish made of black stone is 2.25ft in height., Dwarka,"(22.2471009, 68.9742446)",537.2261424,1087.326052,1568.645624,1994.864478
"Akshardham Temple | Gandhinagar, Gujarat","The largest temple in Gujarat, the Akshardham Temple is considered a masterpiece of modern India. The imposing 10 storey high building with intricate carvings, sculptures and filigree works is an architectural marvel bearing witness to the amazing craftsmanship. The presiding deity, like Delhi Akshardham is Lord Swaminarayan and the temple enshrines a golden idol of the deity. The temple seeks to celebrate the Indian culture, its glorious past and spirituality, address its present and bless its future.", Gandhinagar,"(23.2232877, 72.6492267)",459.7968303,751.7108459,1381.118763,1612.84989
"Somnath Temple | Junagadh, Gujarat","Located on the western coast of Gujarat, the Somnath temple is one of the 12 jyotirlinga shrines of Lord Shiva. It is also the sacred soil where Lord Krishna took his last journey to neejdham. Several centuries old, this ancient temple suffered desecration and destruction repeatedly before it was rebuilt and restored after independence in 1947. The present temple structure is built in the Chalukyan style of architecture.", Junagadh,"(21.5174104, 70.4642754)",369.5513385,1039.230946,1398.31805,1849.708368
"Shani Shingnapur | Ahmednagar, Maharashtra","The presiding deity of Shingnapur is Sri Shaneshwar or Lord Shanidev who is the personification of the planet Saturn. Shanidev is worshipped with much devotion and held in reverence by the people. The shrine is a five and half feet black rock installed on an open-air platform symbolising Shani. The spectacle of the deity is quite overwhelming. Visited by thousands of devotees every day, the temple attracts largest number of visitors on amavasya or new moon day. Amavasya is considered the most auspicious day for appeasing Lord Shani.", Ahmednagar,"(19.162772500000003, 74.85802430085195)",208.6156471,1073.725127,887.2973966,1453.207302
"Siddhi Vinayak Temple | Mumbai, Maharashtra","Commanding utmost reverence and devotion of the people of Mumbai is the temple of Shree Siddhi Vinayaka or ‘Ganesha who grants your wish.’ Built in 1801 the temple was reconstructed to accommodate more devotees. Sculpted from a single black stone, the 2.5 feet tall idol of Ganesha rests within the 2550 sq meter temple complex. Enjoying its pride of place at the heart of the city of Mumbai, the temple is visited by thousands of devotees everyday to offer their prayers. Politicians and Bollywood celebrities are regular visitors to the temple, seeking blessings before the launch of their new ventures. It is also the richest temple in Mumbai.", Mumbai,"(19.0759899, 72.8773928)",0,1144.539256,1031.779069,1655.629682
"Shirdi Sai Baba Temple | Shirdi, Maharashtra","Shirdi Sai Baba temple owes its origins to Sai Baba, an Indian guru or yogi. Sai Baba attained popularity and substantial following through his teachings and religious messages. His teachings combined elements of Hinduism and Islam. Shirdi became an important pilgrimage centre because of Sai Baba. The temple or mandir is visited by thousands of pilgrims each day and its fame and name has crossed the borders of Maharashtra. ", Shirdi,"(19.7668121, 74.4754386)",184.4324878,1018.40093,964.0833751,1473.568572
"Nathdwara Shrinathji Temple | Nathdwara, Rajasthan","Dedicated to Shrinathji or the 7-year old Lord Krishna, the Shrinathji temple in Nathdwara was built in 1672. The idol of Shrinathji had manifested in the Govardhan Hill in Vraj, later brought out by Shri Vallabhacharya Mahaprabhuji, who established one of the four peeths of Sanatan Vaishnav Dharma - Pushti Marg. Nathdwara's Shrinathji temple has been designed on the lines of the home of Nand in Gokul and hence it is also known as Nanda Bhavan or Nandalaya. The idol of Shrinathji is self-carved in Bas-relief out of a monolithic black marble (stone of Govardhan hill) and is said to be a mesmerising sight for sore eyes. The temple draws large number of devotees on Janmashtami (birth day of Lord Krishna), Holi (40 days of celebration) and Diwali (the grandest of all). ", Nathdwara,"(24.9303453, 73.8224937)",655.5539735,529.0908704,1475.894735,1504.61403
"Dilwara Temples | Mount Abu, Rajasthan",The Dilwara Temples are an architectural marvel and one of the finest specimens of Jain temples in the world. Built between 11th and 13th century AD these gorgeous and stunning temples are set amidst lush green surroundings. The interior of the temples are adorned with extraordinary marble stone carvings that are breathtakingly beautiful. The intricate carvings on the ceilings and pillars are some of the best one will come across in India bearing testimony to the skill and level of craftsmanship achieved during that era. The Dilwara temple complex houses five temples devoted to five Jain tirthankaras or saints. , Mount Abu,"(24.592433, 72.7081876)",611.0785335,631.9223639,1501.708707,1612.792194
"Jain Temple | Ranakpur, Rajasthan","The Jain Temple of Ranakpur is dedicated to Adinatha. Made of light coloured marble the temple is a majestic architectural piece complete with domes, turrets, shikhara and cupolas. The temple houses 1444 exquisitely carved pillars, each distinct from the other. No two pillars are alike in design and sculptures. ", Ranakpur,"(23.943721, 71.7971842)",550.4640494,748.0499739,1497.38089,1700.890171
"Sanchi Stupa | Sanchi, Madhya Pradesh","At Sanchi one comes across some of the oldest Buddhist monuments or ‘Stupas; in the country. The ‘Great Stupa’ at Sanchi is the oldest stone structure in India, dating back to the 3rd century BC. Commissioned by Ashoka the Great, it is a simple hemispherical brick structure built over the relics of Buddha. In the 1st century BC four ornamental gateways and a balustrade encircling the hemispherical structure was added. These later additions were commissioned by the Satavahana rulers. These monuments are important Buddhist pilgrimage centres. ", Sanchi,"(23.487047, 77.740622)",702.1598724,570.4828303,1182.04945,1093.14476
"Khajuraho Temples | Khajuraho, Madhya Pradesh","A UNESCO World Heritage Site and one of the ‘seven wonders’ of India, the Khajuraho temples are a dream crafted in stone. Unparalleled and undisputed in their creativity, grace, elegance and sheer beauty the Khajuraho temples are breathtakingly beautiful.  The erotic sculptures and carvings that adorn the exterior of the temples are bewitching and captivating and will leave you craving for more. An architectural wonder, the complex includes several temples including the famous Kandariya Mahadev Temple, the Chaturbhuj Temple, Lakshman Temple etc. Khajuraho has the largest group of medieval Hindu and Jain temples, each a masterpiece and a stunner. ", Khajuraho,"(24.8515132, 79.9259786)",968.6440145,496.7877269,1303.13796,896.9875759
"Tirupati Temple (Tirumala Venkateshwara) | Tirumala, Andhra Pradesh","The world famous sacred temple of Sri Venkateshwara is located atop the Tirumala Hill near Tirupati. Lord Venkateshwara is a form of Lord Vishnu and is known by several other names like Balaji, Govinda and Srinivasa. After Sree Padmanabhaswamy Temple in Thiruvananthapuram, Tirumala Venkateshwara Temple is the richest pilgrimage centre with assets worth more than Rs. 50,000 crore. It is also the most visited place of worship in the world with 50,000 to 100,000 devotees visiting the temple almost daily. The idol of Sri Venkateshwara studded with precious stones is awe-inspiring and dazzling. No happy occasions like marriage or child birth are considered complete without a visit to the temple.", Tirumala,"(13.6795235, 79.3497522)",913.3748966,1668.348726,119.519574,1366.922797
"Virupaksha Temple | Hampi, Karnataka","Virupakha temple also known as Pampapati temple is considered the most sacred of the temples at the ancient town of Hampi. Situated on the southern bank of Tungabhadra and north of the Hemakuta hill, the temple complex is a long rectangular enclosure. The sanctum enshrines the Virupaksha linga (a representation of Lord Shiva). The vimana or the temple shrine towers over the surrounding landscape. Exquisite carvings and sculptures adorn the temple walls and ceilings. The mandapa (pillared outdoor hall) and ardhamandapa have intrinsically carved pillars, a common feature of all temples at Hampi.", Hampi,"(15.3358, 76.4610201)",562.6488818,1472.344918,480.7265447,1484.25147
"Vitthala Temple | Hampi, Karnataka","Perhaps no other structure or building in Hampi can compare with Vitthala temple in terms of its magnificence. It is the culmination of the Vijaynagar style of art and architecture. It is situated inside a rectangular enclosure and all along the enclosure walls are pillared colonnades. The gopura, the hundred-pillared mandapa, indeed, each structure within the complex are exquisite displays of craftsmanship, symbols of perseverance and architectural brilliance of the artists at Hampi.", Hampi,"(15.3358, 76.4610201)",562.6488818,1472.344918,480.7265447,1484.25147
"Pattabhirama Temple | Hampi, Karnataka",The Pattabhimara Temple with its spellbinding architecture is another stunner from Hampi. The richly carved and highly ornamental pillars of the mandapa facing the courtyard are mesmerising creations and a superb example of the Vijaynagara style of composite pillar architecture. , Hampi,"(15.3358, 76.4610201)",562.6488818,1472.344918,480.7265447,1484.25147
"Chamundeshwari Temple | Mysore, Karnataka","Located atop Chamundi Hills 13 km from Mysore is the temple of Chamundeshwari or Durga, a fierce form of Shakti. The hill is named after Goddess Chamundi, an incarnation of Lord Shiva’s consort, Parvati. She was the patron goddess of the Wodeyar dynasty who ruled Mysore. A popular pilgrimage centre, pilgrims believe that a darshan of the goddess will help fulfil their desires. A flight of 1000 steps take the visitors to the hill top where they are greeted by the sight of the towering gopuram  of the temple. The gopuram is one of the finest examples of the Dravidian style of architecture. ", Mysore,"(12.3051828, 76.6553609)",851.5451557,1806.546481,401.9562108,1680.320768
"Padmanabhaswamy temple | Thiruvananthapuram, Kerala","Dedicated to Lord Vishnu in Thiruvananthapuram, the Padmanabhaswamy temple is one of the 108 Divya Desams or holy abodes of Lord Vishnu. The temple though has references in Epics and Puranas has its origin lost in antiquity. The majestic and impressive idol of Sree Padmanabhaswamy is seen reclined on the five hooded serpent Anantha in a conscious cosmic slumber. The granite stone pillars with rich and elaborate carvings that adorn the temple corridor stand as a testimony to the architectural brilliance of the Vishwakarma sthapathis. Recent revelations about the temple’s assets have solidified the status of Padmanabhaswamy temple as the wealthiest temple in India, surpassing Tirumala Venkateshwara Temple.", Thiruvananthapuram,"(8.5241122, 76.9360573)",1246.961525,2224.043367,622.285294,1974.29352
"Sabarimala Temple | Pathanamthitta, Kerala","Located in the Western Ghat mountain ranges of Pathanamthitta district in Kerala, Sabarimala Sri Dharmasastha Temple is open to all faiths. The temple is believed to be the place where Hindu God Ayyappan meditated after killing the demon Mahishi. Surrounded by dense forests and mountains, the temple is the largest annual pilgrimage in the world with 45-50 million devotees visiting annually. It is open for worship only during the days of Mandalpooja (from November 15 to December 26 approximately), Makaravilakku (January 14-Makar Sankranti), Vishu (April 14) and the first six days of each Malayalam month. ", Pathanamthitta,"(9.278084100000001, 76.97374429915658)",1170.549977,2140.610913,553.880185,1905.696018
"Ranganathaswamy Temple | Srirangam, Tamil Nadu","Sri Ranganathaswamy temple located in Srirangam is dedicated to Ranganatha, a reclining form of Lord Vishnu. It is considered to be foremost among the 108 Divya Deshams or holy abodes of Lord Vishnu. Spread over a sprawling 156 acres, the Ranganathaswamy temple is the largest temple in India, largest functioning temple in the world and one of the world’s largest religious complexes. The temple, also known by the names, Thiruvaranga Tirupati, Periyakoil, Bhoologa Vaikundam and Bhogamandabam is renowned for its architectural splendour. The 72m high Rajagopuram is an impressive structure towering over its surroundings. The Hall of 1000 Pillars with beautifully carved pillars is another magnificent feature of this temple.", Srirangam,"(10.78789595, 78.61240704407285)",1104.938884,1978.888316,311.6124503,1663.617734
"Meenakshi Temple | Madurai, Tamil Nadu","Located in the temple city of Madurai on the banks of River Vaigai is Meenakshi Amman Temple dedicated to Parvati who is referred to as Meenakshi. Ancient, majestic and gorgeous, Meenakshi temple is revered by the people of Tamil Nadu and forms the lifeline of the 2500 years old city of Madurai. Embodiment of spirituality and peace, the temple is an exquisite work of art. It is one of the finest examples of Dravidian architectural style. The temple has enormous gopurams towering over the city with rich carvings. The mandapam consists of 985 pillars, some of which produce music. Each pillar is carved out of a single block of granite. The image of Meenakshi is believed to be carved out of a single emerald. According to mythology the marriage of Meenakshi and Shiva took place in Madurai which is still celebrated every year with much pomp and show. ", Madurai,"(9.9261153, 78.1140983)",1158.782925,2070.953907,421.0887839,1772.572186
"Ramanathaswamy Temple | Rameshwaram, Tamil Nadu","Rameshwaram is a small island connected to the mainland by a causeway where Lord Rama is believed to have worshipped Shiva after crossing over from Sri Lanka. The Ramanathaswamy temple located in Rameshwaram is dedicated to Lord Shiva. It is one of the 12 Jyotirlinga temples where Shiva is worshipped as a pillar of light. There are two lingams inside the sanctum, a small one built by Sita and a larger one which Hanuman brought from Kailash called Vishwalingam. The latter is worshipped first. The temple is another architectural masterpiece from the south. It boasts of the largest temple corridor in India. The 1219m long pillared corridor is an awe-inspiring structure. ", Rameshwaram,"(9.2844657, 79.3125553)",1286.400444,2151.056161,433.0715523,1756.408596
"Shore Temple | Mahabalipuram, Tamil Nadu","Located on the shore of the Coromandel Coast of the Bay of Bengal in Mahabalipuram, the Shore Temple is one of the oldest known stone temples of South India. It is one of the Group of Monuments at Mahabalipuram that have been classified as UNESCO World Heritage Site. The five storey temple dates back to 8th century A.D built under the patronage of the Pallava rulers. The main shrine is dedicated to Lord Shiva.", Mahabalipuram,"(12.6195981, 80.1936497)",1060.061937,1797.718176,52.01038453,1397.992332
"Sripuram Golden Temple | Vellore, Tamil Nadu",Stretched across 100 acres the Golden Temple at Sripuram in Vellore is a spiritual park that was inaugurated in 2007. The temple owes its name to the vimana and ardhamandapa of the Lakshmi Narayani Temple which is coated in gold both in the interior and the exterior. The temple is headed by spiritual leader Sri Sakthi Amma., Vellore,"(12.7948109, 79.0006410968549)",955.1847733,1761.292111,141.4179342,1464.934193
"Brihadeshwara Temple | Thanjavur, Tamil Nadu","The Brihadeshwara Temple is a masterpiece and one of the finest living artistic creations of the Chola period. It bears testimony to the architectural brilliance that was attained by them. One of the cornerstones of Indian craftsmanship, the Brihadeshwara Temple is a part of the UNESCO World Heritage Site ‘Greatest Living Chola Temples.’ Built in 1010 A.D the entire temple made out of granite is dedicated to Lord Shiva. The Brihadeshwara Temple also marks the culmination of the Dravidian style of architecture that dominated temple architecture of the south.", Thanjavur,"(10.7860267, 79.1381497)",1137.587824,1983.899883,282.5012037,1629.496644
"Chennakesava Temple | Belur, Karnataka","A stunner from the Hoysala period, the Chennakesava Temple at Belur will sweep you off your feet by its sheer beauty and grandeur. The temple structure has elaborate filigree works which gleams and shines like metal. Ornately sculptured pillars adorn the open mantapa which, according to art critic Gerard Foekema, is the most magnificent in all of medieval India. The Chennakesava Temple dedicated to Lord Vishnu is part of the temple complex which is listed under UNESCO World Heritage Site at Belur.", Belur,"(22.6357323, 88.3398223)",1655.768411,1298.336126,1359.013182,10.60455455
"Thillai Nataraja Temple | Chidambaram, Tamil Nadu","The Chidambaram Temple is dedicated to Lord Shiva. The presiding deity here is Thillai Koothan or Thillai Nataraja or Shiva, The Lord of Dance. It is in Chidambaram that the representation of Shiva as the cosmic dancer took shape. It is a Tamilian concept in Chola art that has now become a symbol of Hinduism. Chidambaram is one of the five holiest Shiva temples, each representing one of the five natural elements. Chidambaram represents akasha (ether). ", Chidambaram,"(11.41018075, 79.67222017841891)",1118.630771,1921.816741,196.2296392,1539.369798
"Annamalaiyer Temple | Thiruvannamalai, Tamil Nadu","Located at the base of Annamalai Hills in Thiruvannamalai, the Annamalaiyer Temple is dedicated to Lord Shiva. Spread out over 10 hectares, the temple is one of the largest in India. It has four gopurams the tallest being the eastern tower which is 217ft making it one of the tallest towers in India. The temple houses numerous shrines and halls.", Thiruvannamalai,"(9.539867, 77.6197904)",1172.319138,2111.952088,487.1980551,1839.342146
"Kailashanatha Temple | Kanchipuram, Tamil Nadu","Built under the patronage of the Pallava rulers, the Kailashanatha Temple is the oldest temple of Kanchipuram dedicated to Lord Shiva. Famous for its architectural splendour, the temple marks the evolution of Dravidian Architecture. The temple is a poetry in stone, unparalleled in beauty, grace and grandeur. It is a cultural and architectural treasure trove which even after centuries can sweep you off your feet with its elegance and craftsmanship. ", Kanchipuram,"(12.836393, 79.7053304)",1005.176537,1765.937298,67.11723534,1411.945496
